AREA FIGURES FOR NEW HAMPSHIRE,,,,,,,
"Source: NH GRANIT system; compiled at NH Office of Strategic Initiatives, May 2021",,,,,,,
,,,,,,,
,Municipality,Total acres,Total sq. miles,Land acres,Land sq. miles,Water acres,Water sq. miles
,Littleton,"34,555.30",53.99,"31,950.28",49.92,2605.02,4.07
,Livermore,"40,924.70",63.94,"40,802.75",63.75,121.95,0.19
,Lyman,"18,355.90",28.68,"18,190.90",28.42,165,0.26
,Lyme,"35,215.80",55.02,"34,449.83",53.83,765.97,1.2
,Monroe,"15,248.90",23.83,"14,351.04",22.42,897.86,1.4
,Orange,"14,799.70",23.12,"14,747.39",23.04,52.31,0.08
,Orford,"30,577.80",47.78,"29,671.31",46.36,906.49,1.42
,Piermont,"25,582.20",39.97,"24,693.03",38.58,889.17,1.39
,Plymouth,"18,232.60",28.49,"17,922.00",28,310.6,0.49
,Rumney,"27,270.20",42.61,"26,695.75",41.71,574.45,0.9
,Sugar Hill,"11,027.60",17.23,"10,910.78",17.05,116.83,0.18
,Thornton,"32,443.40",50.69,"32,158.77",50.25,284.63,0.44
,Warren,"31,356.00",48.99,"31,066.87",48.54,289.13,0.45
,Waterville Valley,"41,248.10",64.45,"41,158.40",64.31,89.7,0.14
,Wentworth,"26,963.80",42.13,"26,657.58",41.65,306.22,0.48
,Woodstock,"37,752.10",58.99,"37,394.21",58.43,357.89,0.56
County Total,,"1,119,743.95","1,749.60","1,093,489.33","1,708.58","26,254.62",41.02
,,,,,,,
Hillsborough Co.,,,,,,,
,Amherst,"22,025.30",34.41,"21,564.07",33.69,461.23,0.72
,Antrim,"23,367.60",36.51,"22,636.37",35.37,731.23,1.14
,Bedford,"21,156.10",33.06,"20,904.41",32.66,251.69,0.39
,Bennington,"7,412.45",11.58,"7,154.35",11.18,258.1,0.4
,Brookline,"12,924.40",20.19,"12,678.89",19.81,245.51,0.38
,Deering,"19,987.90",31.23,"19,360.03",30.25,627.87,0.98
,Francestown,"19,442.00",30.38,"18,957.97",29.62,484.03,0.76
,Goffstown,"24,064.50",37.6,"23,638.75",36.94,425.76,0.67
,Greenfield,"17,303.40",27.04,"15,501.97",24.22,1801.43,2.81
,Greenville,"4,401.84",6.88,"4,388.55",6.86,13.29,0.02
,Hancock,"20,003.60",31.26,"19,070.32",29.8,933.28,1.46
,Hillsborough,"28,606.80",44.7,"27,659.67",43.22,947.13,1.48
,Hollis,"20,668.10",32.29,"20,223.95",31.6,444.15,0.69
,Hudson,"18,779.90",29.34,"18,091.91",28.27,687.99,1.07
,Litchfield,"9,783.82",15.29,"9,489.48",14.83,294.35,0.46
,Lyndeborough,"19,369.70",30.27,"19,146.56",29.92,223.14,0.35
,Manchester,"22,354.70",34.93,"20,977.01",32.78,1377.69,2.15
,Mason,"15,352.70",23.99,"15,257.09",23.84,95.61,0.15
,Merrimack,"21,412.40",33.46,"20,651.36",32.27,761.04,1.19
,Milford,"16,298.90",25.47,"16,134.55",25.21,164.36,0.26
,Mont Vernon,"10,820.10",16.91,"10,751.11",16.8,68.99,0.11
,Nashua,"20,304.90",31.73,"19,566.44",30.57,738.46,1.15
,New Boston,"27,653.60",43.21,"27,322.01",42.69,331.59,0.52
,New Ipswich,"21,149.10",33.05,"20,838.11",32.56,310.99,0.49
,Pelham,"17,151.50",26.8,"16,610.10",25.95,541.4,0.85
,Peterborough,"24,592.40",38.43,"24,106.95",37.67,485.45,0.76
,Sharon,"10,022.20",15.66,"10,000.57",15.63,21.63,0.03
,Temple,"14,381.50",22.47,"14,177.91",22.15,203.59,0.32
,Weare,"38,463.50",60.1,"37,503.81",58.6,959.69,1.5
,Wilton,"16,447.30",25.7,"16,265.31",25.41,181.99,0.28
,Windsor,"5,450.57",8.52,"5,252.89",8.21,197.68,0.31
County Total,,"571,152.78",892.43,"555,882.47",868.57,"15,270.31",23.86
,,,,,,,
Merrimack Co.,,,,,,,
,Allenstown,"13,167.40",20.57,"12,965.30",20.26,202.1,0.32
,Andover,"26,271.50",41.05,"25,657.44",40.09,614.07,0.96
,Boscawen,"16,252.10",25.39,"15,765.48",24.63,486.62,0.76
,Bow,"18,269.20",28.55,"17,926.13",28.01,343.07,0.54
,Bradford,"22,993.70",35.93,"22,452.48",35.08,541.22,0.85
,Canterbury,"28,696.70",44.84,"27,971.16",43.7,725.54,1.13
,Chichester,"13,628.10",21.29,"13,448.86",21.01,179.24,0.28
,Concord,"43,000.00",67.19,"40,654.77",63.52,2345.23,3.66
,Danbury,"24,343.40",38.04,"24,136.83",37.71,206.57,0.32
,Dunbarton,"20,045.70",31.32,"19,724.18",30.82,321.52,0.5
,Epsom,"22,152.70",34.61,"21,843.79",34.13,308.92,0.48
,Franklin,"18,661.60",29.16,"17,506.98",27.35,1154.62,1.8
,Henniker,"28,671.70",44.8,"27,975.06",43.71,696.64,1.09
,Hill,"17,107.10",26.73,"16,964.75",26.51,142.35,0.22
,Hooksett,"23,760.70",37.13,"23,055.31",36.02,705.39,1.1
,Hopkinton,"28,851.60",45.08,"27,638.94",43.19,1212.66,1.89
,Loudon,"29,896.50",46.71,"29,462.01",46.03,434.49,0.68
,Newbury,"24,382.60",38.1,"22,844.00",35.69,1538.6,2.4
,New London,"16,267.90",25.42,"14,211.99",22.21,2055.91,3.21
,Northfield,"18,485.70",28.88,"18,253.75",28.52,231.95,0.36
,Pembroke,"14,597.30",22.81,"14,331.61",22.39,265.69,0.42
,Pittsfield,"15,558.70",24.31,"15,191.92",23.74,366.78,0.57
,Salisbury,"25,468.30",39.79,"25,192.94",39.36,275.36,0.43
,Sutton,"27,734.80",43.34,"27,002.26",42.19,732.54,1.14
,Warner,"35,502.10",55.47,"35,049.21",54.76,452.89,0.71
,Webster,"18,425.80",28.79,"17,757.02",27.75,668.78,1.04
,Wilmot,"18,955.40",29.62,"18,785.98",29.35,169.42,0.26
County Total,,"611,148.30",954.92,"593,770.14",927.77,"17,378.16",27.15
,,,,,,,
Rockingham Co.,,,,,,,
,Atkinson,"7,258.46",11.34,"7,149.19",11.17,109.27,0.17
,Auburn,"18,437.80",28.81,"16,229.69",25.36,2208.11,3.45
,Brentwood,"10,862.90",16.97,"10,742.55",16.79,120.35,0.19
,Candia,"19,557.10",30.56,"19,321.36",30.19,235.74,0.37
,Chester,"16,717.80",26.12,"16,602.12",25.94,115.68,0.18
,Danville,"7,569.47",11.83,"7,413.98",11.58,155.49,0.24
,Deerfield,"33,347.70",52.11,"32,578.96",50.9,768.75,1.2
,Derry,"23,225.70",36.29,"22,546.70",35.23,679,1.06
,East Kingston,"6,380.75",9.97,"6,323.39",9.88,57.36,0.09
,Epping,"16,775.60",26.21,"16,409.84",25.64,365.76,0.57
,Exeter,"12,792.70",19.99,"12,571.04",19.64,221.66,0.35
,Fremont,"11,142.40",17.41,"10,987.91",17.17,154.49,0.24
,Greenland,"8,523.82",13.32,"8,522.02",13.32,1.8,0
,Hampstead,"9,014.13",14.08,"8,543.64",13.35,470.49,0.74
,Hampton Falls,"8,077.97",12.62,"7,718.78",12.06,359.2,0.56
,Hampton,"8,921.31",13.94,"8,311.86",12.99,609.45,0.95
,Kensington,"7,667.77",11.98,"7,636.61",11.93,31.16,0.05
,Kingston,"13,450.20",21.02,"12,494.15",19.52,956.05,1.49
,Londonderry,"26,958.10",42.12,"26,814.31",41.9,143.79,0.22
,New Castle,"1,347.57",2.11,502.77,0.79,844.8,1.32
,Newfields,"4,646.75",7.26,"4,542.26",7.1,104.49,0.16
,Newington,"7,916.74",12.37,"5,214.71",8.15,2702.03,4.22
,Newmarket,"9,080.28",14.19,"8,034.89",12.55,1045.39,1.63
,Newton,"6,364.87",9.95,"6,248.23",9.76,116.64,0.18
,North Hampton,"8,915.03",13.93,"8,831.33",13.8,83.7,0.13
,Northwood,"19,356.90",30.25,"17,974.09",28.08,1382.81,2.16
,Nottingham,"30,996.50",48.43,"29,806.58",46.57,1189.92,1.86
,Plaistow,"6,789.60",10.61,"6,764.69",10.57,24.91,0.04
,Portsmouth,"10,763.40",16.82,"9,997.99",15.62,765.41,1.2
,Raymond,"18,943.40",29.6,"18,372.33",28.71,571.07,0.89
,Rye,"8,579.98",13.41,"8,006.40",12.51,573.58,0.9
,Salem,"16,569.30",25.89,"15,806.89",24.7,762.41,1.19
,Sandown,"9,231.73",14.42,"8,888.54",13.89,343.19,0.54
,Seabrook,"6,158.01",9.62,"5,661.64",8.85,496.37,0.78
,South Hampton,"5,146.56",8.04,"5,043.64",7.88,102.93,0.16
,Stratham,"9,921.88",15.5,"9,676.05",15.12,245.83,0.38
,Windham,"17,772.30",27.77,"17,035.70",26.62,736.6,1.15
County Total,,"465,182.48",726.85,"445,326.79",695.82,"19,855.69",31.02
,,,,,,,
Strafford Co.,,,,,,,
,Barrington,"31,117.10",48.62,"29,721.47",46.44,1395.63,2.18
,Dover,"18,592.10",29.05,"17,057.83",26.65,1534.27,2.4
,Durham,"15,852.20",24.77,"14,266.78",22.29,1585.42,2.48
,Farmington,"23,639.90",36.94,"23,229.57",36.3,410.33,0.64
,Lee,"12,927.20",20.2,"12,635.58",19.74,291.62,0.46
,Madbury,"7,799.08",12.19,"7,399.17",11.56,399.91,0.62
,Middleton,"11,842.90",18.5,"11,555.80",18.06,287.1,0.45
,Milton,"21,935.90",34.27,"21,018.27",32.84,917.63,1.43
,New Durham,"28,053.90",43.83,"26,346.00",41.17,1707.9,2.67
,Rochester,"29,080.60",45.44,"28,541.44",44.6,539.17,0.84
,Rollinsford,"4,842.78",7.57,"4,686.23",7.32,156.55,0.24
,Somersworth,"6,398.29",10,"6,218.64",9.72,179.65,0.28
,Strafford,"32,778.80",51.22,"31,151.12",48.67,1627.68,2.54
County Total,,"244,860.75",382.59,"233,827.89",365.36,"11,032.86",17.24
,,,,,,,
Sullivan Co.,,,,,,,
,Acworth,"24,999.00",39.06,"24,856.81",38.84,142.19,0.22
,Charlestown,"24,345.40",38.04,"22,747.07",35.54,1598.33,2.5
,Claremont,"28,193.00",44.05,"27,408.72",42.83,784.28,1.23
,Cornish,"27,269.70",42.61,"26,824.25",41.91,445.45,0.7
,Croydon,"24,028.80",37.55,"23,471.27",36.67,557.53,0.87
,Goshen,"14,420.00",22.53,"14,248.42",22.26,171.58,0.27
,Grantham,"17,950.90",28.05,"17,326.51",27.07,624.39,0.98
,Langdon,"10,446.10",16.32,"10,371.82",16.21,74.28,0.12
,Lempster,"20,956.20",32.74,"20,628.24",32.23,327.96,0.51
,Newport,"27,930.30",43.64,"27,661.74",43.22,268.56,0.42
,Plainfield,"33,914.30",52.99,"33,384.64",52.16,529.66,0.83
,Springfield,"28,478.80",44.5,"27,841.54",43.5,637.26,1
,Sunapee,"16,099.10",25.15,"13,418.86",20.97,2680.24,4.19
,Unity,"23,806.30",37.2,"23,619.91",36.91,186.39,0.29
,Washington,"30,524.00",47.69,"28,978.27",45.28,1545.73,2.42
,,"353,361.90",552.13,"342,788.07",535.61,"10,573.83",16.52
,,,,,,,
State Total,,"5,940,537.93","9,282.09","5,716,564.82","8,932.13","223,973.11",349.96
